coef,se,z,p,ci_low,ci_high,term,OR,OR_ci_low,OR_ci_high
0.2851158748461744,0.0851025803681128,3.3502612213742564,0.0008073538337636386,0.11831788233324786,0.45191386735910094,Intercept,1.3299161230196197,1.125601863449458,1.5713166011002735
0.03765751741691936,0.020459336927282638,1.8406030239769333,0.06567975428545492,-0.0024420461081249845,0.07775708094196371,"C(gender, Treatment(reference='man'))[T.woman]",1.0383755464344178,0.9975609332607266,1.0808600652679796
0.03601569659758725,0.021442934793161724,1.6796066837396186,0.09303386641067903,-0.0060116833198505595,0.07804307651502507,"C(ethnicity, Treatment(reference='white'))[T.asian]",1.0366721185882906,0.9940063506919654,1.0811692306696057
0.009803301680277958,0.022664052238454423,0.43254849473231244,0.6653428142060306,-0.034617424450827106,0.054224027811383024,"C(ethnicity, Treatment(reference='white'))[T.black]",1.0098515114517226,0.965974903953948,1.0557210865490008
0.016346632890943222,0.019891280030476757,0.8217989423454627,0.41119133579671285,-0.02263955957519201,0.05533282535707845,"C(ethnicity, Treatment(reference='white'))[T.indian]",1.0164809700830881,0.9776147921673566,1.0568923167072721
0.0016329264226441,0.019956516811840415,0.08182422002998375,0.9347864958521471,-0.037481127785431216,0.040746980630719416,"C(ethnicity, Treatment(reference='white'))[T.latine]",1.001634260372977,0.9632125955040715,1.0415885301290997
0.008168453154310945,0.021515776995768145,0.3796494616911844,0.7042056397838761,-0.03400169485679002,0.05033860116541191,"C(ethnicity, Treatment(reference='white'))[T.middle_eastern]",1.00820190599172,0.9665698664386172,1.0516271182657326
-0.057326581123555514,0.0294339708953505,-1.9476332747414329,0.05145885930935477,-0.11501610400044265,0.00036294175333163176,"C(gender, Treatment(reference='man'))[T.woman]:C(ethnicity, Treatment(reference='white'))[T.asian]",0.9442856331415116,0.8913517894616376,1.0003630076246588
-0.055619835049078956,0.03022395875478829,-1.8402564502000347,0.06573059581681485,-0.11485770567868805,0.0036180355805301503,"C(gender, Treatment(reference='man'))[T.woman]:C(ethnicity, Treatment(reference='white'))[T.black]",0.9458986650654515,0.8914929892717925,1.003624588571863
-0.031107774755873036,0.028008019310340734,-1.1106738541981742,0.2667087603037016,-0.08600248388244325,0.02378693437069717,"C(gender, Treatment(reference='man'))[T.woman]:C(ethnicity, Treatment(reference='white'))[T.indian]",0.9693710937130329,0.9175919520267807,1.0240721000776347
-0.009837764049324061,0.02682045446920873,-0.3668007960349189,0.7137676138157282,-0.06240488885796951,0.04272936075932139,"C(gender, Treatment(reference='man'))[T.woman]:C(ethnicity, Treatment(reference='white'))[T.latine]",0.9902104684551727,0.9395024157118791,1.0436554025199138
-0.04909069327637055,0.030634608010865243,-1.6024586721971257,0.10905421943554487,-0.10913342165816865,0.010952035105427554,"C(gender, Treatment(reference='man'))[T.woman]:C(ethnicity, Treatment(reference='white'))[T.middle_eastern]",0.9520947771880095,0.8966107822201487,1.0110122281867815
