factor,level_i,level_j,logit_diff,OR_ratio,se,stat,df2,p,q
ethnicity,black,indian,-0.04496189935131157,0.9560339066512025,0.03098843665905996,2.1051835327755426,499.0,0.14742905215283408,0.6948891842352203
ethnicity,asian,indian,-0.03914565708075604,0.9616106335474065,0.02950510510346023,1.7602438782060685,499.0,0.1852009140834262,0.6948891842352203
ethnicity,black,latine,-0.03511374793134263,0.9654955868855243,0.027974624690619634,1.5755269520273036,499.0,0.20999367367380517,0.6948891842352203
ethnicity,black,middle_eastern,-0.03118618897103162,0.9692950842196733,0.026249997423248485,1.4114518980169835,499.0,0.23538066984646655,0.6948891842352203
ethnicity,asian,latine,-0.029297505660787107,0.9711275055550315,0.025105914354127037,1.3617870747141014,499.0,0.2437853621647914,0.6948891842352203
ethnicity,asian,middle_eastern,-0.025369946700476095,0.9749491660769377,0.02397783140168855,1.1194876459538976,499.0,0.29054072260120867,0.6948891842352203
ethnicity,white,indian,-0.027470373849486345,0.9729035055121847,0.029100209576781777,0.8911214676896891,499.0,0.3456304108652216,0.6948891842352203
ethnicity,white,latine,-0.017622222429517408,0.9825321408607484,0.02047755391757565,0.7405684414245212,499.0,0.38989212883451685,0.6948891842352203
ethnicity,white,black,0.017491525501825225,1.017645398080151,0.022225156967249346,0.6193921563442898,499.0,0.4316468776828015,0.6948891842352203
ethnicity,white,asian,0.0116752832312697,1.0117437053738878,0.019073870963271334,0.37467711658155595,499.0,0.5407446150440283,0.6948891842352203
ethnicity,white,middle_eastern,-0.013694663469206395,0.9863986818378628,0.022585058479191854,0.3676717735590477,499.0,0.5445518361904267,0.6948891842352203
ethnicity,indian,middle_eastern,0.01377571038027995,1.0138710326864055,0.02337548529155582,0.3473015611074725,499.0,0.5559113473881763,0.6948891842352203
ethnicity,indian,latine,0.009848151419968938,1.0098968040448109,0.03408288691777033,0.08349042804728342,499.0,0.7727418565345996,0.865052943134053
ethnicity,asian,black,0.005816242270555525,1.005833189447996,0.023843577744708994,0.0595034480451975,499.0,0.8073827469251161,0.865052943134053
ethnicity,latine,middle_eastern,0.003927558960311012,1.0039352819274974,0.029296910004723037,0.017972222754380505,499.0,0.8934087699814977,0.8934087699814977
