coef,se,z,p,ci_low,ci_high,term,OR,OR_ci_low,OR_ci_high
0.733623862692244,0.09102613173107435,8.059486311685161,7.661572066655176e-16,0.5552159228473397,0.9120318025371483,Intercept,2.0826140567198004,1.7423171502413033,2.4893753176028888
-0.009111022854229562,0.024963021477077,-0.3649807721631781,0.715125759242331,-0.05803764589460035,0.03981560018614122,"C(gender, Treatment(reference='man'))[T.woman]",0.9909303567489681,0.9436144235590059,1.0406188665737732
-0.018193315067250103,0.02170226859337842,-0.8383139757472666,0.4018543887358209,-0.060728979893086545,0.02434234975858634,"C(ethnicity, Treatment(reference='white'))[T.asian]",0.9819711841831276,0.9410782563467887,1.024641043465656
-0.00547009013309549,0.019408912639567445,-0.2818339303534213,0.7780708524203999,-0.04351085988573192,0.03257067961954094,"C(ethnicity, Treatment(reference='white'))[T.black]",0.9945448435679651,0.9574221565392916,1.0331069101668902
-0.029054856729212146,0.022685417500214446,-1.2807724049573912,0.2002736193254765,-0.07351745800388712,0.015407744545462829,"C(ethnicity, Treatment(reference='white'))[T.indian]",0.9713631771982574,0.9291199250706655,1.0155270558264373
-0.020006370721379195,0.023420459999096633,-0.8542262074336232,0.39297966487213754,-0.06590962882096958,0.025896887378211192,"C(ethnicity, Treatment(reference='white'))[T.latine]",0.9801924287540026,0.9362154673643338,1.026235125223346
-0.0036478896941843173,0.022219141051069275,-0.16417779993384424,0.8695911770443204,-0.047196605921695535,0.039900826533326904,"C(ethnicity, Treatment(reference='white'))[T.middle_eastern]",0.9963587557723274,0.9538998367965753,1.0407075584979746
5.695275756833172e-05,0.030337998089148555,0.001877274743078808,0.9985021523458882,-0.059404430860207816,0.05951833637534448,"C(gender, Treatment(reference='man'))[T.woman]:C(ethnicity, Treatment(reference='white'))[T.asian]",1.0000569543794073,0.9423255865337296,1.0613252216587437
-0.0036122020799261097,0.026407310984484435,-0.13678795550400616,0.891198404265445,-0.05536958053806456,0.04814517637821234,"C(gender, Treatment(reference='man'))[T.woman]:C(ethnicity, Treatment(reference='white'))[T.black]",0.9963943140737579,0.9461354100953668,1.0493229811771274
-0.005309305545219156,0.03211611790041625,-0.1653159189937568,0.8686953296655449,-0.06825573995327715,0.05763712886283883,"C(gender, Treatment(reference='man'))[T.woman]:C(ethnicity, Treatment(reference='white'))[T.indian]",0.9947047639067812,0.9340215763964312,1.05933052548552
-0.007156340310349788,0.03115104645854088,-0.22973033409565247,0.8183013220365778,-0.0682112694498239,0.053898588829124336,"C(gender, Treatment(reference='man'))[T.woman]:C(ethnicity, Treatment(reference='white'))[T.latine]",0.9928692053189065,0.9340631137297559,1.0553775696529717
-0.003620218004907359,0.03418310377171617,-0.10590664993688503,0.9156564178577492,-0.07061787027726633,0.06337743426745161,"C(gender, Treatment(reference='man'))[T.woman]:C(ethnicity, Treatment(reference='white'))[T.middle_eastern]",0.9963863270836961,0.9318178994183194,1.065428892725797
