lambda_tok,lambda_extra,ensemble,accuracy,improvement,rescue_rate,extra_error_rate,n_profiles,tokens_per_sample_sum,cost_per_sample_sum,baseline_accuracy,pareto,score,utility
0.0001,0.5,woman_middle_eastern,0.7171052631578947,0.02631578947368418,0.1276595744680851,0.01904761904761905,5,5.0,,0.6907894736842105,True,0.7070814536340853,0.7070814536340853
0.0001,1.0,woman_middle_eastern,0.7171052631578947,0.02631578947368418,0.1276595744680851,0.01904761904761905,5,5.0,,0.6907894736842105,True,0.6975576441102757,0.6975576441102757
0.0001,2.0,woman_middle_eastern,0.7171052631578947,0.02631578947368418,0.1276595744680851,0.01904761904761905,5,5.0,,0.6907894736842105,True,0.6785100250626567,0.6785100250626567
0.0001,3.0,woman_middle_eastern,0.7171052631578947,0.02631578947368418,0.1276595744680851,0.01904761904761905,5,5.0,,0.6907894736842105,True,0.6594624060150376,0.6594624060150376
0.0005,0.5,woman_middle_eastern,0.7171052631578947,0.02631578947368418,0.1276595744680851,0.01904761904761905,5,5.0,,0.6907894736842105,True,0.7050814536340853,0.7050814536340853
0.0005,1.0,woman_middle_eastern,0.7171052631578947,0.02631578947368418,0.1276595744680851,0.01904761904761905,5,5.0,,0.6907894736842105,True,0.6955576441102757,0.6955576441102757
0.0005,2.0,woman_middle_eastern,0.7171052631578947,0.02631578947368418,0.1276595744680851,0.01904761904761905,5,5.0,,0.6907894736842105,True,0.6765100250626567,0.6765100250626567
0.0005,3.0,woman_middle_eastern,0.7171052631578947,0.02631578947368418,0.1276595744680851,0.01904761904761905,5,5.0,,0.6907894736842105,True,0.6574624060150376,0.6574624060150376
0.001,0.5,woman_middle_eastern,0.7171052631578947,0.02631578947368418,0.1276595744680851,0.01904761904761905,5,5.0,,0.6907894736842105,True,0.7025814536340852,0.7025814536340852
0.001,1.0,woman_middle_eastern,0.7171052631578947,0.02631578947368418,0.1276595744680851,0.01904761904761905,5,5.0,,0.6907894736842105,True,0.6930576441102756,0.6930576441102756
0.001,2.0,woman_middle_eastern,0.7171052631578947,0.02631578947368418,0.1276595744680851,0.01904761904761905,5,5.0,,0.6907894736842105,True,0.6740100250626566,0.6740100250626566
0.001,3.0,woman_middle_eastern,0.7171052631578947,0.02631578947368418,0.1276595744680851,0.01904761904761905,5,5.0,,0.6907894736842105,True,0.6549624060150375,0.6549624060150375
0.002,0.5,woman_middle_eastern,0.7171052631578947,0.02631578947368418,0.1276595744680851,0.01904761904761905,5,5.0,,0.6907894736842105,True,0.6975814536340852,0.6975814536340852
0.002,1.0,woman_middle_eastern,0.7171052631578947,0.02631578947368418,0.1276595744680851,0.01904761904761905,5,5.0,,0.6907894736842105,True,0.6880576441102756,0.6880576441102756
0.002,2.0,woman_middle_eastern,0.7171052631578947,0.02631578947368418,0.1276595744680851,0.01904761904761905,5,5.0,,0.6907894736842105,True,0.6690100250626566,0.6690100250626566
0.002,3.0,woman_middle_eastern,0.7171052631578947,0.02631578947368418,0.1276595744680851,0.01904761904761905,5,5.0,,0.6907894736842105,True,0.6499624060150375,0.6499624060150375
