coef,se,z,p,ci_low,ci_high,term,OR,OR_ci_low,OR_ci_high
0.9207750443215552,0.0950284614647354,9.689465978182236,3.342718572132148e-22,0.7345226823444214,1.107027406298689,Intercept,2.5112359550563594,2.0844867926617368,3.0253518727816617
-0.027332896276725194,0.025114346018449637,-1.0883379665409465,0.27644593558224695,-0.0765561099681634,0.021890317414713,"C(gender, Treatment(reference='man'))[T.woman]",0.9730372671190533,0.9263009381144977,1.0221316682780732
-0.01175300533895677,0.024634488054059368,-0.477095578895948,0.6332940627460399,-0.06003571470249533,0.03652970402458179,"C(ethnicity, Treatment(reference='white'))[T.asian]",0.9883157914415475,0.9417308993447331,1.0372051127263409
-0.0253909972666865,0.02769928232307424,-0.9166662504297133,0.35931755651049513,-0.07968059301751897,0.028898598484145967,"C(ethnicity, Treatment(reference='white'))[T.black]",0.9749286430609767,0.9234112432868714,1.0293202145530242
0.04962887421099081,0.02988499244377885,1.6606620966813073,0.09678132991137225,-0.008944634657067387,0.108202383079049,"C(ethnicity, Treatment(reference='white'))[T.indian]",1.0508810149500347,0.991095249582271,1.1142732326160167
-0.005883892801719993,0.025967014354574314,-0.22659104051688925,0.8207417597358794,-0.056778305722720246,0.045010520119280265,"C(ethnicity, Treatment(reference='white'))[T.latine]",0.9941333833951601,0.9448035036803909,1.0460388643044574
0.03163699596667056,0.02710290077906085,1.167291878628455,0.24309251727301073,-0.02148371343685128,0.0847577053701924,"C(ethnicity, Treatment(reference='white'))[T.middle_eastern]",1.03214276530639,0.9787454177383936,1.0884533083546633
0.04695435713534134,0.03155663800931755,1.4879391499651322,0.13676694179409984,-0.014895516836088807,0.10880423110677148,"C(gender, Treatment(reference='man'))[T.woman]:C(ethnicity, Treatment(reference='white'))[T.asian]",1.048074170880394,0.9852148725926076,1.1149440576105116
0.021511932190190028,0.02592356870337755,0.829821404465322,0.4066397670843648,-0.02929732881917968,0.07232119319955974,"C(gender, Treatment(reference='man'))[T.woman]:C(ethnicity, Treatment(reference='white'))[T.black]",1.0217449819200957,0.9711276772907957,1.0750005714915805
0.011333002946406179,0.028108358166950294,0.40318978714777737,0.6868086122229564,-0.04375836672536869,0.06642437261818104,"C(gender, Treatment(reference='man'))[T.woman]:C(ethnicity, Treatment(reference='white'))[T.indian]",1.0113974647092605,0.9571852173303754,1.0686801395379828
0.011714350752855852,0.028441196751170777,0.41187967072354764,0.6804276220326391,-0.04402937055665646,0.06745807206236817,"C(gender, Treatment(reference='man'))[T.woman]:C(ethnicity, Treatment(reference='white'))[T.latine]",1.0117832324650449,0.9569258516153655,1.069785404761843
-0.006267049266273484,0.031222929504142394,-0.20071945092282342,0.8409179495957928,-0.06746286658622562,0.054928768053678655,"C(gender, Treatment(reference='man'))[T.woman]:C(ethnicity, Treatment(reference='white'))[T.middle_eastern]",0.993752547727167,0.9347624308916951,1.0564653579115182
