factor,level_i,level_j,logit_diff,OR_ratio,se,stat,df2,p,q
ethnicity,black,indian,-0.07501987147767732,0.9277250508777445,0.030466846732572644,6.063140273969936,499.0,0.014140070717478453,0.13481389369978103
ethnicity,black,middle_eastern,-0.057027993233357055,0.9445676274944104,0.025304084743297574,5.079195298635762,499.0,0.02464779835484152,0.13481389369978103
ethnicity,indian,latine,0.0555127670127108,1.0570825127721497,0.026015988424375268,4.553077984124627,499.0,0.03334659918695068,0.13481389369978103
ethnicity,asian,indian,-0.06138187954994758,0.9404640272129552,0.029185309627428557,4.423354589212285,499.0,0.03595037165327494,0.13481389369978103
ethnicity,white,indian,-0.04962887421099081,0.9515825157879991,0.02988499244377885,2.757798599353956,499.0,0.09740949906041263,0.2704207039303388
ethnicity,asian,middle_eastern,-0.043390001305627326,0.9575378762144087,0.026960892358657094,2.590065824090976,499.0,0.10816828157213552,0.2704207039303388
ethnicity,latine,middle_eastern,-0.03752088876839055,0.9631742979858539,0.026930270673632312,1.9411754814764626,499.0,0.1641612570751716,0.3517741223039391
ethnicity,white,middle_eastern,-0.03163699596667056,0.9688582176935102,0.02710290077906085,1.3625703299119478,499.0,0.24365000027038766,0.4568437505069769
ethnicity,white,black,0.0253909972666865,1.0257160943187666,0.02769928232307424,0.8402770146768699,499.0,0.35976035461949596,0.5996005910324933
ethnicity,black,latine,-0.019507104464966507,0.9806819279435166,0.024404136598792637,0.6389380102796767,499.0,0.4244759368477776,0.6367139052716665
ethnicity,indian,middle_eastern,0.017991878244320254,1.0181547071524377,0.02692628137521578,0.44647818838937264,499.0,0.5043211131798705,0.6846258879942615
ethnicity,asian,black,0.013637991927729732,1.0137314135509847,0.02266880205473037,0.36194594687526194,499.0,0.5477007103954092,0.6846258879942615
ethnicity,white,asian,0.01175300533895677,1.011822343283021,0.024634488054059368,0.22762019140205975,499.0,0.6335029392982419,0.7309649299595098
ethnicity,asian,latine,-0.005869112537236776,0.994148077058086,0.02546420051285334,0.05312326791987218,499.0,0.8178094923841686,0.8208345504593932
ethnicity,white,latine,0.005883892801719993,1.005901236899222,0.025967014354574314,0.05134349964252655,499.0,0.8208345504593932,0.8208345504593932
